n,min_k_for_aggregated_combinations,log_sum_of_combinations_min_k_aggregated_combinations,sum_of_combinations_min_k_aggregated_combinations,min_k,log_combinations_min_k,combinations_min_k,max_k,log_combinations_max_k,combinations_max_k
1294,17,127.26899646052405,205014912730666765530673520990998394927,17,127.24969249097606,202289983420282550699501344145812826976,18,133.39831029923647,14351350490427823180181289804122387780464
1295,17,127.28804554025913,207739842041050980361845697836183962879,17,127.26875675260298,204980851744339517336349171102369022640,18,133.41850387210766,14553640473848105730880791148268200607440
1296,17,127.30707983623144,210498832337762443387342224569998903119,17,127.28780620660596,207705382221003920616034812938757039360,18,133.4386817540453,14758621325592445248217140319370569630080
1297,17,127.32609937137003,213292282454520966158649636201240766879,17,127.30684087597031,210463969328626628936716525298099906289,18,133.45884396941534,14966326707813449168833175132309326669440
1298,17,127.3451041685507,216120595580415303380582747104381627470,17,127.32586078362779,213257011856797318001450468256778827762,18,133.47899054252713,15176790677142075797769891657607426575729
1299,17,127.36409425059608,218984179304033288759715025951984427179,17,127.34486595245694,216084912950062181032670950285144849659,18,133.49912149763335,15390047688998873115771342125864205403491
1300,17,127.38306964027583,221883445658004396486759101618824004700,17,127.36385640528307,218948080152050534171841181115111694900,18,133.51923685893044,15606132601948935296804013076149350253150
1301,17,127.40203036030681,224818811163958258801677022122536314501,17,127.38283216487856,221846925450013820060409171830810214225,18,133.53933665055854,15825080682100985830975854257264461948050
1302,17,127.42097643335322,227790696877902697542944872414262414778,17,127.40179325396296,224781865319780539858873728967871516670,18,133.5594208966019,16046927607550999651036263429095272162275
1303,17,127.4399078820268,230799528436024855227016015860653312887,17,127.42073969520314,227753320771130671412218093969779616035,18,133.57948962108878,16271709472870780190895137158063143678945
1304,17,127.45882472888697,233845736100919039041813937751527009740,17,127.43967151121352,230761717393593158913389583944516409720,18,133.5995428479919,16499462793641910862307355252032923294980
1305,17,127.47772699644095,236929754808244919170238291558537609761,17,127.45858872455615,233807485402670087253084943359933163575,18,133.61958060122845,16730224511035504021220744835977439704700
1306,17,127.496614707144,240052024213819751087391639757142055948,17,127.47749135774093,236891059686491182275041843311150280550,18,133.63960290466028,16964031996438174108473829779337372868275
1307,17,127.51548788339954,243212988741148319899741436203133831347,17,127.49637943322574,240012879852902306382542394734630555565,18,133.65960978209404,17200923056124665290748871622648523148825
1308,17,127.53434654755931,246413097629394333416940477671637107130,17,127.51525297341664,243173390276991647365116539359331345220,18,133.67960125728152,17440935935977567597131414017383153704390
1309,17,127.5531907219235,249652804981797019468764415983942869041,17,127.53411200066796,246373040149057326935710178035112020815,18,133.69957735391958,17684109326254559244496530556742485049610
1310,17,127.57202042874097,252932569814536712001818653932773717268,17,127.55295653728251,249612283523020184289079917421497871050,18,133.71953809565045,17930482366403616571432240734777597070425
1311,17,127.59083569020937,256252856106053239714557390444049563487,17,127.57178660551176,252891579365285519013125016800296529325,18,133.73948350606196,18180094649926636755721320652199094941475
1312,17,127.60963652847529,259614132846820960415989764087802597650,17,127.59060222755593,256211391604057606907505808526632468320,18,133.75941360868754,18432986229291922274734445668999391470800
1313,17,127.62842296563444,263016874089584313924473719648972726981,17,127.6094034255642,259572189179110831689471548298972554710,18,133.7793284270065,18689197620895979881641951477526023939120
1314,17,127.64719502373178,266461559000057796159475890998972899253,17,127.62819022163482,262974446092021305196581044305975279020,18,133.7992279844442,18948769810075090713331423025824996493830
1315,17,127.66595272476172,269948671908094287122370737691970519487,17,127.64696263781535,266418641456862878531204987105051996850,18,133.81911230437217,19211744256167112018528004070130971772850
1316,17,127.68469609066823,273478702359325695713536488278889042125,17,127.66572069610271,269905259551371476633614906104887165400,18,133.8389814101083,19478162897623974897059209057236023769700
1317,17,127.70342514334499,277052145167279914793458070452890918851,17,127.6844644184434,273434789868581719020362177953951074486,18,133.8588353249169,19748068157175346373692823963340910935100
1318,17,127.72213990463557,280669500465978110566553962951830763217,17,127.70319382673367,277007727168939819883810415482941980148,18,133.87867407200915,20021502947043928092713186141294862009586
1319,17,127.74084039633358,284331273763016401249297510420719546287,17,127.72190894281957,280624571532896791418391657466974248706,18,133.89849767454288,20298510674212867912596996556777803989734
